RoleAction
Microsoft.ApiManagement/service/gateways/listDebugCredentials/action
Microsoft.ApiManagement/service/gateways/listKeys/action
Microsoft.ApiManagement/service/gateways/listTrace/action
Microsoft.ApiManagement/service/gateways/regenerateKey/action
Microsoft.ApiManagement/service/gateways/token/action
Microsoft.ApiManagement/service/gateways/write
Microsoft.ApiManagement/service/getssotoken/action
Microsoft.ApiManagement/service/groups/delete
Microsoft.ApiManagement/service/groups/users/delete
Microsoft.ApiManagement/service/groups/users/write
Microsoft.ApiManagement/service/groups/write
Microsoft.ApiManagement/service/identityProviders/delete
Microsoft.ApiManagement/service/identityProviders/listSecrets/action
Microsoft.ApiManagement/service/identityProviders/write
Microsoft.ApiManagement/service/openidConnectProviders/delete
Microsoft.ApiManagement/service/openidConnectProviders/listSecrets/action
Microsoft.ApiManagement/service/openidConnectProviders/write
Microsoft.ApiManagement/service/policies/delete
Microsoft.ApiManagement/service/policies/write
Microsoft.ApiManagement/service/policy/delete
Microsoft.ApiManagement/service/policy/write
Microsoft.ApiManagement/service/policyRestrictions/delete
Microsoft.ApiManagement/service/policyRestrictions/write
Microsoft.ApiManagement/service/portalConfigs/listDelegationSecrets/action
Microsoft.ApiManagement/service/portalConfigs/listMediaContentSecrets/action
Microsoft.ApiManagement/service/portalSettings/listSecrets/action
Microsoft.ApiManagement/service/products/policies/delete
Microsoft.ApiManagement/service/products/policies/write
Microsoft.ApiManagement/service/properties/listSecrets/action
Microsoft.ApiManagement/service/subscriptions/listSecrets/action
Microsoft.ApiManagement/service/subscriptions/regeneratePrimaryKey/action
Microsoft.ApiManagement/service/subscriptions/regenerateSecondaryKey/action
Microsoft.ApiManagement/service/tenant/listSecrets/action
Microsoft.ApiManagement/service/tenants/apis/operations/delete
Microsoft.ApiManagement/service/tenants/apis/operations/policies/delete
Microsoft.ApiManagement/service/tenants/apis/operations/policies/write
Microsoft.ApiManagement/service/tenants/apis/operations/tags/delete
Microsoft.ApiManagement/service/tenants/apis/operations/tags/write
Microsoft.ApiManagement/service/tenants/apis/operations/write
Microsoft.ApiManagement/service/tenants/apis/policies/delete
Microsoft.ApiManagement/service/tenants/apis/policies/write
Microsoft.ApiManagement/service/tenants/apis/releases/delete
Microsoft.ApiManagement/service/tenants/apis/releases/write
Microsoft.ApiManagement/service/tenants/apis/resolvers/policies/delete
Microsoft.ApiManagement/service/tenants/apis/resolvers/policies/write
Microsoft.ApiManagement/service/tenants/keys/delete
Microsoft.ApiManagement/service/tenants/keys/regeneratePrimaryKey/action
Microsoft.ApiManagement/service/tenants/keys/regenerateSecondaryKey/action
Microsoft.ApiManagement/service/tenants/keys/write
Microsoft.ApiManagement/service/updatecertificate/action
Microsoft.ApiManagement/service/updatehostname/action
Microsoft.ApiManagement/service/users/action
Microsoft.ApiManagement/service/users/confirmations/send/action
Microsoft.ApiManagement/service/users/delete
Microsoft.ApiManagement/service/users/generateSsoUrl/action
Microsoft.ApiManagement/service/users/token/action
Microsoft.ApiManagement/service/users/write
Microsoft.ApiManagement/service/validatePolicies/action
Microsoft.ApiManagement/service/workspaces/apis/operations/policies/delete
Microsoft.ApiManagement/service/workspaces/apis/operations/policies/write
Microsoft.ApiManagement/service/workspaces/apis/policies/delete
Microsoft.ApiManagement/service/workspaces/apis/policies/write
Microsoft.ApiManagement/service/workspaces/certificates/delete
Microsoft.ApiManagement/service/workspaces/certificates/refreshSecret/action
Microsoft.ApiManagement/service/workspaces/certificates/write
Microsoft.ApiManagement/service/workspaces/groups/delete
Microsoft.ApiManagement/service/workspaces/groups/users/delete
Microsoft.ApiManagement/service/workspaces/groups/users/write
Microsoft.ApiManagement/service/workspaces/groups/write
Microsoft.ApiManagement/service/workspaces/join/action
Microsoft.ApiManagement/service/workspaces/loggers/delete
Microsoft.ApiManagement/service/workspaces/loggers/write
Microsoft.ApiManagement/service/workspaces/policies/delete
Microsoft.ApiManagement/service/workspaces/policies/write
Microsoft.ApiManagement/service/workspaces/products/policies/delete
Microsoft.ApiManagement/service/workspaces/products/policies/write
Microsoft.ApiManagement/service/workspaces/subscriptions/delete
Microsoft.ApiManagement/service/workspaces/subscriptions/listSecrets/action
Microsoft.ApiManagement/service/workspaces/subscriptions/regeneratePrimaryKey/action
Microsoft.ApiManagement/service/workspaces/subscriptions/regenerateSecondaryKey/action
microsoft.app/connectedenvironments/certificates/delete
microsoft.app/connectedenvironments/certificates/write
microsoft.app/connectedenvironments/daprcomponents/listsecrets/action
microsoft.app/containerapps/listsecrets/action
microsoft.app/containerapps/resiliencypolicies/delete
microsoft.app/containerapps/resiliencypolicies/write
microsoft.app/jobs/listsecrets/action
microsoft.app/locations/managedcertificateoperationstatuses/delete
microsoft.app/managedenvironments/certificates/delete
microsoft.app/managedenvironments/certificates/write
microsoft.app/managedenvironments/daprcomponents/listsecrets/action
microsoft.app/managedenvironments/daprcomponents/resiliencypolicies/delete
microsoft.app/managedenvironments/daprcomponents/resiliencypolicies/write
microsoft.app/managedenvironments/managedcertificates/delete
microsoft.app/managedenvironments/managedcertificates/write
Microsoft.AppConfiguration/configurationStores/ListKeys/action
Microsoft.AppConfiguration/configurationStores/ListKeyValue/action
Microsoft.AppConfiguration/configurationStores/RegenerateKey/action
Microsoft.AppPlatform/Spring/apms/listSecretKeys/action
Microsoft.AppPlatform/Spring/certificates/delete
Microsoft.AppPlatform/Spring/certificates/write
Microsoft.AppPlatform/Spring/gateways/listEnvSecrets/action
Microsoft.AppPlatform/Spring/jobs/executions/listEnvSecrets/action
Microsoft.AppPlatform/Spring/jobs/listEnvSecrets/action
Microsoft.AppPlatform/Spring/listTestKeys/action
Microsoft.AppPlatform/Spring/regenerateTestKey/action
Microsoft.Attestation/attestationProviders/write
Microsoft.Authorization/classicAdministrators/delete
Microsoft.Authorization/classicAdministrators/write
Microsoft.Authorization/denyAssignments/delete
Microsoft.Authorization/denyAssignments/write
Microsoft.Authorization/diagnosticSettings/delete
Microsoft.Authorization/diagnosticSettings/write
Microsoft.Authorization/elevateAccess/action
Microsoft.Authorization/locks/delete
Microsoft.Authorization/locks/write
Microsoft.Authorization/policies/audit/action
Microsoft.Authorization/policies/auditIfNotExists/action
Microsoft.Authorization/policies/deny/action
Microsoft.Authorization/policies/deployIfNotExists/action
Microsoft.Authorization/policyAssignments/delete
Microsoft.Authorization/policyAssignments/exempt/action
Microsoft.Authorization/policyAssignments/privateLinkAssociations/delete
Microsoft.Authorization/policyAssignments/privateLinkAssociations/write
Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/delete
Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/privateEndpointConnectionProxies/delete
Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/privateEndpointConnectionProxies/validate/action
Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/privateEndpointConnectionProxies/write
Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/privateEndpointConnections/delete
Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/privateEndpointConnections/write
Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/write
Microsoft.Authorization/policyAssignments/write
Microsoft.Authorization/policyDefinitions/delete
Microsoft.Authorization/policyDefinitions/versions/delete
Microsoft.Authorization/policyDefinitions/versions/write
Microsoft.Authorization/policyDefinitions/write
Microsoft.Authorization/policyExemptions/delete
Microsoft.Authorization/policyExemptions/write
Microsoft.Authorization/policySetDefinitions/delete
Microsoft.Authorization/policySetDefinitions/versions/delete
Microsoft.Authorization/policySetDefinitions/versions/write
Microsoft.Authorization/policySetDefinitions/write
Microsoft.Authorization/roleAssignments/delete
Microsoft.Authorization/roleAssignments/write
Microsoft.Authorization/roleAssignmentScheduleRequests/cancel/action
Microsoft.Authorization/roleAssignmentScheduleRequests/write
Microsoft.Authorization/roleDefinitions/delete
Microsoft.Authorization/roleDefinitions/write
Microsoft.Authorization/roleEligibilityScheduleRequests/cancel/action
Microsoft.Authorization/roleEligibilityScheduleRequests/write
Microsoft.Authorization/roleManagementPolicies/write
Microsoft.Automation/automationAccounts/certificates/delete
Microsoft.Automation/automationAccounts/certificates/getCount/action
Microsoft.Automation/automationAccounts/certificates/write
Microsoft.Automation/automationAccounts/credentials/delete
Microsoft.Automation/automationAccounts/credentials/getCount/action
Microsoft.Automation/automationAccounts/credentials/write
Microsoft.Automation/automationAccounts/listKeys/action
Microsoft.AwsConnector/acmCertificateSummaries/delete
Microsoft.AwsConnector/acmCertificateSummaries/write
Microsoft.AwsConnector/ec2KeyPairs/delete
Microsoft.AwsConnector/ec2KeyPairs/write
Microsoft.AwsConnector/ec2NetworkAcls/delete
Microsoft.AwsConnector/ec2NetworkAcls/write
Microsoft.AwsConnector/ec2NetworkInterfaces/delete
Microsoft.AwsConnector/ec2NetworkInterfaces/write
Microsoft.AwsConnector/ec2SecurityGroups/delete
Microsoft.AwsConnector/ec2SecurityGroups/write
Microsoft.AwsConnector/guardDutyDetectors/delete
Microsoft.AwsConnector/guardDutyDetectors/write
Microsoft.AwsConnector/iamAccessKeyLastUseds/delete
Microsoft.AwsConnector/iamAccessKeyLastUseds/write
Microsoft.AwsConnector/iamAccessKeyMetadata/delete
Microsoft.AwsConnector/iamAccessKeyMetadata/write
Microsoft.AwsConnector/iamGroups/delete
Microsoft.AwsConnector/iamGroups/write
Microsoft.AwsConnector/iamInstanceProfiles/delete
Microsoft.AwsConnector/iamInstanceProfiles/write
Microsoft.AwsConnector/iamManagedPolicies/delete
Microsoft.AwsConnector/iamManagedPolicies/write
Microsoft.AwsConnector/iamMFADevices/delete
Microsoft.AwsConnector/iamMFADevices/write
Microsoft.AwsConnector/iamPasswordPolicies/delete
Microsoft.AwsConnector/iamPasswordPolicies/write
Microsoft.AwsConnector/iamPolicyVersions/delete
Microsoft.AwsConnector/iamPolicyVersions/write
Microsoft.AwsConnector/iamRoles/delete
Microsoft.AwsConnector/iamRoles/write
Microsoft.AwsConnector/iamServerCertificates/delete
Microsoft.AwsConnector/iamServerCertificates/write
Microsoft.AwsConnector/iamUserPolicies/delete
Microsoft.AwsConnector/iamUserPolicies/write
Microsoft.AwsConnector/iamVirtualMFADevices/delete
Microsoft.AwsConnector/iamVirtualMFADevices/write
Microsoft.AwsConnector/kmsAliases/delete
Microsoft.AwsConnector/kmsAliases/write
Microsoft.AwsConnector/kmsKeys/delete
Microsoft.AwsConnector/kmsKeys/write
Microsoft.AwsConnector/networkFirewallFirewallPolicies/delete
Microsoft.AwsConnector/networkFirewallFirewallPolicies/write
Microsoft.AwsConnector/s3AccessControlPolicies/delete
Microsoft.AwsConnector/s3AccessControlPolicies/write
Microsoft.AwsConnector/s3BucketPolicies/delete
Microsoft.AwsConnector/s3BucketPolicies/write
Microsoft.AwsConnector/secretsManagerResourcePolicies/delete
Microsoft.AwsConnector/secretsManagerResourcePolicies/write
Microsoft.AwsConnector/secretsManagerSecrets/delete
Microsoft.AwsConnector/secretsManagerSecrets/write
Microsoft.AzureActiveDirectory/b2cDirectories/delete
Microsoft.AzureActiveDirectory/b2cDirectories/write
Microsoft.AzureActiveDirectory/ciamDirectories/delete
Microsoft.AzureActiveDirectory/ciamDirectories/write
Microsoft.AzureActiveDirectory/guestUsages/delete
Microsoft.AzureActiveDirectory/guestUsages/write
Microsoft.AzureActiveDirectory/register/action
Microsoft.AzureArcData/dataControllers/activeDirectoryConnectors/delete
Microsoft.AzureArcData/dataControllers/activeDirectoryConnectors/write
Microsoft.AzureDataTransfer/connections/flows/generatePassphrase/action
Microsoft.AzureDataTransfer/connections/flows/getStreamConnectionString/action
Microsoft.AzureSphere/catalogs/certificates/retrieveCertChain/action
Microsoft.AzureSphere/catalogs/certificates/retrieveProofOfPossessionNonce/action
Microsoft.AzureStack/registrations/getActivationKey/action
Microsoft.AzureStackHCI/Clusters/ArcSettings/GeneratePassword/Action
Microsoft.AzureStackHCI/Clusters/SecuritySettings/Delete
Microsoft.AzureStackHCI/Clusters/SecuritySettings/Write
Microsoft.AzureStackHCI/Clusters/UploadCertificate/Action
Microsoft.AzureStackHCI/Clusters/WACloginAsAdmin/Action
Microsoft.AzureStackHCI/NetworkSecurityGroups/Delete
Microsoft.AzureStackHCI/NetworkSecurityGroups/join/action
Microsoft.AzureStackHCI/NetworkSecurityGroups/SecurityRules/Delete
Microsoft.AzureStackHCI/NetworkSecurityGroups/SecurityRules/Write
Microsoft.AzureStackHCI/NetworkSecurityGroups/Write
Microsoft.AzureStackHCI/VirtualHardDisks/upload/action
Microsoft.AzureStackHCI/VirtualMachineInstances/WACloginAsAdmin/Action
Microsoft.AzureStackHCI/virtualMachines/WACloginAsAdmin/Action
Microsoft.Batch/batchAccounts/certificates/cancelDelete/action
Microsoft.Batch/batchAccounts/certificates/delete
Microsoft.Batch/batchAccounts/certificates/write
Microsoft.Batch/batchAccounts/listkeys/action
Microsoft.Batch/batchAccounts/regeneratekeys/action
Microsoft.Batch/batchAccounts/syncAutoStorageKeys/action
Microsoft.Billing/billingAccounts/associatedTenants/write
Microsoft.Billing/billingAccounts/billingProfiles/billingRoleAssignments/write
Microsoft.Billing/billingAccounts/billingProfiles/checkAccess/write
Microsoft.Billing/billingAccounts/billingProfiles/createBillingRoleAssignment/write
Microsoft.Billing/billingAccounts/billingProfiles/customers/billingRoleAssignments/write
Microsoft.Billing/billingAccounts/billingProfiles/customers/checkAccess/write
Microsoft.Billing/billingAccounts/billingProfiles/customers/createBillingRoleAssignment/write
Microsoft.Billing/billingAccounts/billingProfiles/customers/policies/write
Microsoft.Billing/billingAccounts/billingProfiles/customers/resolveBillingRoleAssignments/write
Microsoft.Billing/billingAccounts/billingProfiles/invoiceSections/billingRoleAssignments/write
Microsoft.Billing/billingAccounts/billingProfiles/invoiceSections/billingSubscriptions/move/action
Microsoft.Billing/billingAccounts/billingProfiles/invoiceSections/billingSubscriptions/transfer/action
Microsoft.Billing/billingAccounts/billingProfiles/invoiceSections/billingSubscriptions/validateMoveEligibility/action
Microsoft.Billing/billingAccounts/billingProfiles/invoiceSections/billingSubscriptions/write
Microsoft.Billing/billingAccounts/billingProfiles/invoiceSections/createBillingRoleAssignment/write
Microsoft.Billing/billingAccounts/billingProfiles/invoiceSections/products/move/action
Microsoft.Billing/billingAccounts/billingProfiles/invoiceSections/products/transfer/action
Microsoft.Billing/billingAccounts/billingProfiles/invoiceSections/products/validateMoveEligibility/action
Microsoft.Billing/billingAccounts/billingProfiles/invoiceSections/resolveBillingRoleAssignments/write
Microsoft.Billing/billingAccounts/billingProfiles/invoiceSections/validateDeleteEligibility/write
Microsoft.Billing/billingAccounts/billingProfiles/invoiceSections/validateDeleteInvoiceSectionEligibility/write
Microsoft.Billing/billingAccounts/billingProfiles/policies/write
Microsoft.Billing/billingAccounts/billingProfiles/resolveBillingRoleAssignments/write
Microsoft.Billing/billingAccounts/billingProfiles/validateDeleteEligibility/write
Microsoft.Billing/billingAccounts/billingProfiles/validateRefundEligibility/write
Microsoft.Billing/billingAccounts/billingProfiles/write
Microsoft.Billing/billingAccounts/billingRoleAssignments/write
Microsoft.Billing/billingAccounts/billingSubscriptions/cancel/write
Microsoft.Billing/billingAccounts/billingSubscriptions/enable/write
Microsoft.Billing/billingAccounts/billingSubscriptions/merge/write
Microsoft.Billing/billingAccounts/billingSubscriptions/move/action
Microsoft.Billing/billingAccounts/billingSubscriptions/move/write
Microsoft.Billing/billingAccounts/billingSubscriptions/split/write
Microsoft.Billing/billingAccounts/billingSubscriptions/validateMoveEligibility/action
Microsoft.Billing/billingAccounts/billingSubscriptions/validateMoveEligibility/write
Microsoft.Billing/billingAccounts/billingSubscriptions/write
Microsoft.Billing/billingAccounts/cancelPaymentTerms/action
Microsoft.Billing/billingAccounts/cancelPaymentTerms/write
Microsoft.Billing/billingAccounts/checkAccess/write
Microsoft.Billing/billingAccounts/confirmTransition/action
Microsoft.Billing/billingAccounts/confirmTransition/write
Microsoft.Billing/billingAccounts/createBillingRoleAssignment/write
Microsoft.Billing/billingAccounts/customers/checkAccess/write
Microsoft.Billing/billingAccounts/customers/initiateTransfer/action
Microsoft.Billing/billingAccounts/customers/policies/write
Microsoft.Billing/billingAccounts/customers/resolveBillingRoleAssignments/write
Microsoft.Billing/billingAccounts/customers/transfers/write
Microsoft.Billing/billingAccounts/departments/addEnrollmentAccount/write
Microsoft.Billing/billingAccounts/departments/billingRoleAssignments/write
Microsoft.Billing/billingAccounts/departments/checkAccess/write
Microsoft.Billing/billingAccounts/departments/enrollmentAccounts/remove/write
Microsoft.Billing/billingAccounts/departments/enrollmentAccounts/write
Microsoft.Billing/billingAccounts/departments/write
Microsoft.Billing/billingAccounts/enrollmentAccounts/activate/write
Microsoft.Billing/billingAccounts/enrollmentAccounts/billingRoleAssignments/write
Microsoft.Billing/billingAccounts/enrollmentAccounts/billingSubscriptions/write
Microsoft.Billing/billingAccounts/enrollmentAccounts/checkAccess/write
Microsoft.Billing/billingAccounts/enrollmentAccounts/transferBillingSubscriptions/write
Microsoft.Billing/billingAccounts/listInvoiceSectionsWithCreateSubscriptionPermission/action
Microsoft.Billing/billingAccounts/policies/write
Microsoft.Billing/billingAccounts/products/move/action
Microsoft.Billing/billingAccounts/resolveBillingRoleAssignments/write
Microsoft.Bing/accounts/delete
Microsoft.Bing/accounts/listKeys/action
Microsoft.Bing/accounts/regenerateKey/action
Microsoft.Bing/accounts/write
Microsoft.BlockchainTokens/tokenServices/blockchainNetworks/Delete
Microsoft.BlockchainTokens/tokenServices/blockchainNetworks/Write
Microsoft.BlockchainTokens/tokenServices/Delete
Microsoft.BlockchainTokens/tokenServices/groups/accounts/Delete
Microsoft.BlockchainTokens/tokenServices/groups/accounts/Write
Microsoft.BlockchainTokens/tokenServices/groups/Delete
Microsoft.BlockchainTokens/tokenServices/groups/Write
Microsoft.BlockchainTokens/tokenServices/tokenTemplates/Delete
Microsoft.BlockchainTokens/tokenServices/tokenTemplates/Write
Microsoft.BlockchainTokens/tokenServices/Write
Microsoft.Blueprint/blueprintAssignments/delete
Microsoft.Blueprint/blueprintAssignments/whoisblueprint/action
Microsoft.Blueprint/blueprintAssignments/write
Microsoft.Blueprint/blueprints/artifacts/delete
Microsoft.Blueprint/blueprints/artifacts/write
Microsoft.Blueprint/blueprints/delete
Microsoft.Blueprint/blueprints/versions/delete
Microsoft.Blueprint/blueprints/versions/write
Microsoft.Blueprint/blueprints/write
Microsoft.Blueprint/register/action
Microsoft.BotService/botServices/channels/listchannelwithkeys/action
Microsoft.BotService/botServices/channels/regeneratekeys/action
Microsoft.BotService/botServices/connections/listwithsecrets/action
Microsoft.BotService/botServices/connections/listwithsecrets/write
Microsoft.Cache/redis/accessPolicies/delete
Microsoft.Cache/redis/accessPolicies/write
Microsoft.Cache/redis/accessPolicyAssignments/delete
Microsoft.Cache/redis/accessPolicyAssignments/write
Microsoft.Cache/redis/listKeys/action
Microsoft.Cache/redis/regenerateKey/action
Microsoft.Cdn/cdnwebapplicationfirewallpolicies/delete
Microsoft.Cdn/cdnwebapplicationfirewallpolicies/providers/Microsoft.Insights/diagnosticSettings/write
Microsoft.Cdn/cdnwebapplicationfirewallpolicies/write
Microsoft.Cdn/profiles/rulesets/delete
Microsoft.Cdn/profiles/rulesets/rules/delete
Microsoft.Cdn/profiles/rulesets/rules/write
Microsoft.Cdn/profiles/rulesets/write
Microsoft.Cdn/profiles/secrets/delete
Microsoft.Cdn/profiles/secrets/write
Microsoft.Cdn/profiles/securitypolicies/delete
Microsoft.Cdn/profiles/securitypolicies/write
Microsoft.Cdn/profiles/tunnelpolicies/delete
Microsoft.Cdn/profiles/tunnelpolicies/write
Microsoft.CertificateRegistration/certificateOrders/certificates/Delete
Microsoft.CertificateRegistration/certificateOrders/certificates/Write
Microsoft.CertificateRegistration/certificateOrders/Delete
Microsoft.CertificateRegistration/certificateOrders/reissue/Action
Microsoft.CertificateRegistration/certificateOrders/renew/Action
Microsoft.CertificateRegistration/certificateOrders/resendEmail/Action
Microsoft.CertificateRegistration/certificateOrders/resendRequestEmails/Action
Microsoft.CertificateRegistration/certificateOrders/retrieveCertificateActions/Action
Microsoft.CertificateRegistration/certificateOrders/retrieveContactInfo/Action
Microsoft.CertificateRegistration/certificateOrders/retrieveEmailHistory/Action
Microsoft.CertificateRegistration/certificateOrders/verifyDomainOwnership/Action
Microsoft.CertificateRegistration/certificateOrders/Write
Microsoft.CertificateRegistration/provisionGlobalAppServicePrincipalInUserTenant/Action
Microsoft.CertificateRegistration/register/action
Microsoft.CertificateRegistration/validateCertificateRegistrationInformation/Action
Microsoft.ClassicCompute/domainNames/serviceCertificates/delete
Microsoft.ClassicCompute/domainNames/serviceCertificates/write
Microsoft.ClassicCompute/domainNames/slots/roles/extensionReferences/delete
Microsoft.ClassicCompute/domainNames/slots/roles/extensionReferences/write
Microsoft.ClassicCompute/domainNames/slots/roles/providers/Microsoft.Insights/diagnosticSettings/write
Microsoft.ClassicCompute/domainNames/slots/roles/roleInstances/downloadremotedesktopconnectionfile/action
Microsoft.ClassicCompute/domainNames/slots/roles/roleInstances/rebuild/action
Microsoft.ClassicCompute/domainNames/slots/roles/roleInstances/reimage/action
Microsoft.ClassicCompute/domainNames/slots/roles/roleInstances/restart/action
Microsoft.ClassicCompute/domainNames/slots/roles/write
Microsoft.ClassicNetwork/virtualNetworks/gateways/clientRevokedCertificates/delete
Microsoft.ClassicNetwork/virtualNetworks/gateways/clientRevokedCertificates/write
Microsoft.ClassicNetwork/virtualNetworks/gateways/clientRootCertificates/delete
Microsoft.ClassicNetwork/virtualNetworks/gateways/clientRootCertificates/download/action
Microsoft.ClassicNetwork/virtualNetworks/gateways/clientRootCertificates/listPackage/action
Microsoft.ClassicNetwork/virtualNetworks/gateways/clientRootCertificates/write
Microsoft.CloudDevicePlatform/delegatedIdentities/delete
Microsoft.CloudDevicePlatform/delegatedIdentities/write
Microsoft.CloudHealth/healthmodels/authenticationsettings/delete
Microsoft.CloudHealth/healthmodels/authenticationsettings/write
Microsoft.CodeSigning/certificateProfiles/Sign/action
Microsoft.CodeSigning/codeSigningAccounts/certificateProfiles/Delete
Microsoft.CodeSigning/codeSigningAccounts/certificateProfiles/Write
Microsoft.CodeSigning/IdentityVerification/Delete
Microsoft.CodeSigning/IdentityVerification/Write
Microsoft.CognitiveServices/accounts/ContentSafety/raipolicies/delete
Microsoft.CognitiveServices/accounts/ContentSafety/raipolicies/write
Microsoft.CognitiveServices/accounts/ContentSafety/safetypolicies/delete
Microsoft.CognitiveServices/accounts/ContentSafety/safetypolicies/write
Microsoft.CognitiveServices/accounts/listKeys/action
Microsoft.CognitiveServices/accounts/LUIS/apps/versions/closedlists/roles/delete
Microsoft.CognitiveServices/accounts/LUIS/apps/versions/closedlists/roles/write
Microsoft.CognitiveServices/accounts/LUIS/apps/versions/compositeentities/roles/delete
Microsoft.CognitiveServices/accounts/LUIS/apps/versions/compositeentities/roles/write
Microsoft.CognitiveServices/accounts/LUIS/apps/versions/customprebuiltentities/roles/delete
Microsoft.CognitiveServices/accounts/LUIS/apps/versions/customprebuiltentities/roles/write
Microsoft.CognitiveServices/accounts/LUIS/apps/versions/entities/roles/delete
Microsoft.CognitiveServices/accounts/LUIS/apps/versions/entities/roles/write
Microsoft.CognitiveServices/accounts/LUIS/apps/versions/hierarchicalentities/roles/delete
Microsoft.CognitiveServices/accounts/LUIS/apps/versions/hierarchicalentities/roles/write
Microsoft.CognitiveServices/accounts/LUIS/apps/versions/patternanyentities/roles/delete
Microsoft.CognitiveServices/accounts/LUIS/apps/versions/patternanyentities/roles/write
Microsoft.CognitiveServices/accounts/LUIS/apps/versions/prebuilts/roles/delete
Microsoft.CognitiveServices/accounts/LUIS/apps/versions/prebuilts/roles/write
Microsoft.CognitiveServices/accounts/LUIS/apps/versions/regexentities/roles/delete
Microsoft.CognitiveServices/accounts/LUIS/apps/versions/regexentities/roles/write
Microsoft.CognitiveServices/accounts/networkSecurityPerimeterAssociationProxies/delete
Microsoft.CognitiveServices/accounts/networkSecurityPerimeterAssociationProxies/write
Microsoft.CognitiveServices/accounts/networkSecurityPerimeterConfigurations/reconcile/action
Microsoft.CognitiveServices/accounts/raiPolicies/delete
Microsoft.CognitiveServices/accounts/raiPolicies/write
Microsoft.CognitiveServices/accounts/regenerateKey/action
Microsoft.CognitiveServices/accounts/TextAnalytics/QnaMaker/endpointkeys/refreshkeys/action
Microsoft.Compute/cloudServices/roleInstances/delete
Microsoft.Compute/cloudServices/roleInstances/rebuild/action
Microsoft.Compute/cloudServices/roleInstances/reimage/action
Microsoft.Compute/cloudServices/roleInstances/restart/action
Microsoft.Compute/cloudServices/roles/providers/Microsoft.Insights/diagnosticSettings/write
Microsoft.Compute/cloudServices/roles/write
Microsoft.Compute/sshPublicKeys/delete
Microsoft.Compute/sshPublicKeys/generateKeyPair/action
